Code,Quantity,option_id,warehouse_id,opening_stock,cost,expiry
30039,,3,1,1,3,30-10-17
30015,1,3,1,1,3.2,31-10-17
30063,138,3,1,1,3.56,01-11-17
30053,21,3,1,1,3.73,02-11-17
30055,32,3,1,1,3.73,03-11-17
30052,19,3,1,1,3.73,04-11-17
30054,16,3,1,1,3.73,05-11-17
30062,7,3,1,1,3.88,06-11-17
30006,1,3,1,1,4.12,07-11-17
30009,,3,1,1,4.6,08-11-17
30034,8,3,1,1,4.6,09-11-17
30033,4,3,1,1,4.6,10-11-17
30038,4,3,1,1,4.6,11-11-17
30007,,3,1,1,4.68,12-11-17
30064,,3,1,1,4.68,13-11-17
30013,2,3,1,1,4.76,14-11-17
30010,,3,1,1,4.78,15-11-17
30043,,3,1,1,4.88,16-11-17
30017,2,3,1,1,4.88,17-11-17
30040,,3,1,1,4.88,18-11-17
30047,8,3,1,1,4.9,19-11-17
30044,,3,1,1,4.9,20-11-17
30032,3,3,1,1,4.96,21-11-17
30082,12,3,1,1,5,22-11-17
30046,2,3,1,1,5.04,23-11-17
30081,5,3,1,1,5.1,24-11-17
30003,,3,1,1,5.2,25-11-17
30041,,3,1,1,5.2,26-11-17
30005,,3,1,1,5.2,27-11-17
30045,3,3,1,1,5.27,28-11-17
30014,3,3,1,1,5.27,29-11-17
30057,3,3,1,1,5.3,30-11-17
30020,,3,1,1,5.45,01-12-17
30042,,3,1,1,5.45,02-12-17
30021,9,3,1,1,5.45,03-12-17
30084,9,3,1,1,5.5,04-12-17
30083,9,3,1,1,5.8,05-12-17
30051,,3,1,1,5.8,06-12-17
30035,,3,1,1,5.9,07-12-17
30019,5,3,1,1,5.9,08-12-17
30023,1,3,1,1,5.9,09-12-17
30076,8,3,1,1,6,10-12-17
30058,21,3,1,1,6.05,11-12-17
30018,2,3,1,1,6.11,12-12-17
30036,3,3,1,1,6.14,13-12-17
30001,1,3,1,1,6.15,14-12-17
30066,,3,1,1,6.23,15-12-17
30059,8,3,1,1,6.23,16-12-17
30065,,3,1,1,6.23,17-12-17
30004,1,3,1,1,6.3,18-12-17
30008,,3,1,1,6.3,19-12-17
30069,8,3,1,1,6.36,20-12-17
30061,2,3,1,1,6.41,21-12-17
30029,1,3,1,1,6.43,22-12-17
30060,16,3,1,1,6.76,23-12-17
30031,2,3,1,1,6.88,24-12-17
30048,,3,1,1,7,25-12-17
30012,1,3,1,1,7,26-12-17
30022,,3,1,1,7,27-12-17
30050,,3,1,1,7,28-12-17
30049,3,3,1,1,7,29-12-17
30028,5,3,1,1,7,30-12-17
30056,,3,1,1,7,31-12-17
30002,,3,1,1,7.2,01-01-18
30037,3,3,1,1,7.2,02-01-18
